,l,b,d,r,phi,x,y,z,vlos,vll,vbb,mu_l,mu_b,vphi,vr,vT,vz,vx,vy
10,321.322195748,-1.14309429786e-05,13.1572751735,8.53051189098,4.44285597657,-2.27151605434,-8.22252077754,0.0,8.41108913691,-365.288219002,-7.94668289654,-5.85662641218,-0.127408305333,204.936962604,-1.78260492814e-09,218.527149549,0.0,210.637304138,-58.1897000835
11,25.3784212187,-0.000110165494108,15.0390778371,8.5305118918,2.28502223556,-5.5877643159,6.44565924372,0.0,-21.7186564267,-405.178050314,-6.74315440262,-5.68332773317,-0.0945844830334,204.936962564,-4.55956514332e-07,218.527149528,0.0,-165.119228093,-143.142431148
12,22.5594712548,-0.000108021430809,15.3471331748,8.53051189103,2.37982154509,-6.1728039727,5.88779451387,0.0,-20.7133881567,-414.113206625,-6.78695129108,-5.69206486503,-0.0932879376136,204.936962602,-2.85142392411e-08,218.527149548,0.0,-150.828340491,-158.129462132
13,340.196274933,-4.86485334942e-05,15.6153386375,8.5305118918,3.81056827987,-6.69182297667,-5.29047619645,0.0,-1.18165215168,-429.461034875,-7.7057929588,-5.80163497215,-0.1040983798,204.936962564,-4.55956186822e-07,218.527149528,0.0,135.526765635,-171.425234074
14,317.927360067,-4.48550219109e-06,12.5741574962,8.53051189098,4.55539579175,-1.333737726,-8.42560245919,0.0,10.0699430579,-349.802506541,-7.96176822578,-5.86842772889,-0.133569830271,204.936962604,-1.78216379056e-09,218.527149549,0.0,215.839672012,-34.1665198079
15,298.937161786,3.39685179452e-05,4.98414111844,7.0891813659,5.62043592151,5.58842685938,-4.36187776949,0.0,-21.794029939,-157.000575951,-7.7885014386,-6.64483268003,-0.329637573456,251.048109646,4.36910576412e-09,222.465697606,0.0,136.88014607,175.370499865
16,4.03809828173,-8.77335120493e-05,15.0469023253,7.08918137825,2.99156532697,-7.00954856077,1.05958557363,0.0,-9.73593978934,-452.64553289,-7.16595958414,-6.34584024983,-0.100462793629,251.048108771,6.99258046275e-08,222.465697218,0.0,-33.2508693616,-219.96673868
17,62.2883191425,-0.000112640374356,3.4098917073,7.0891813659,0.439876769059,6.41432068644,3.01877169889,0.0,11.5418741601,-88.4523087424,-6.92094032595,-5.47186673833,-0.428145558957,251.048109646,4.37195069431e-09,222.465697606,0.0,-94.7321160535,201.287885376
18,12.0810988014,-9.78080696825e-05,14.7114346775,7.08918137825,2.69230040038,-6.38561360347,3.07903093861,0.0,-6.90538800185,-440.949619479,-6.97284406587,-6.3228359637,-0.0999845498926,251.048108771,6.99251833143e-08,222.465697218,0.0,-96.6231118111,-200.387027281
19,354.559568566,-7.36624770258e-05,0.915474024887,7.0891813659,6.2709413181,7.08864998427,-0.0867976904917,0.0,-12.6305331167,-11.0552889131,-7.60087904694,-2.54648306646,-1.75079185496,251.048109646,4.36937736823e-09,222.465697606,0.0,2.72379951931,222.449022312
